iso3c,country_name,city_name,city_code,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,recycling_pct,open_dump_pct,income_label
SWE,Sweden,Borås,bors,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.27,NA,High Income
SWE,Sweden,Stockholm,sthl,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,High Income
CHE,Switzerland,Bern,bern,HIC,Eur. & Cent. Asia,0.322,0.122,0.173,0.035,0.022,0.286,NA,NA,High Income
CHE,Switzerland,Zurich,zurh,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,High Income
SYR,Syrian Arab Republic,Damascus,dama,LIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,0.98,Low Income
TJK,Tajikistan,Dushanbe,dshb,LMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,Lower-Middle Income
TJK,Tajikistan,Khujand,kujd,LIC,Eur. & Cent. Asia,0.045,0.1,0.25,NA,0.05,0.555,NA,1,Low Income
TZA,Tanzania,Dar Es Salaam,dasa,LIC,Sub-Saharan Africa,0.388511426806671,0.159357628165534,0.0796788140827671,0.0197652872143298,0.0537368746139592,0.0895614576899321,0.0422279981760146,0.48,Low Income
THA,Thailand,Bangkok,bang,UMIC,E. Asia & Pacific,0.4268,0.1488,0.1209,0.0663,0.0354,0.0603,0.205,NA,Upper-Middle Income
TLS,Timor-Leste,Dili,dili,LMIC,E. Asia & Pacific,0.12,0.18,0.22,0.02,0.01,0.1,NA,NA,Lower-Middle Income
TGO,Togo,Lome,lome,LIC,Sub-Saharan Africa,0.128571428571429,0.1,0.0761904761904762,0.0142857142857143,0.0142857142857143,0.576190476190476,NA,NA,Low Income
TON,Tonga,Nuku'alofa,nuku,UMIC,E. Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
TON,Tonga,Vava'u,vava,LMIC,E. Asia & Pacific,0.348,0.193,0.149,0.056,0.122,0.132,0.051,NA,Lower-Middle Income
TUN,Tunisia,Sfax,sfax,UMIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
TUN,Tunisia,Sousse,sous,LMIC,Mid. East & N. Africa,0.57,0.152,0.07,0.015,0.03,0.078,0.08,NA,Lower-Middle Income
TUN,Tunisia,Tunis,tuni,LMIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,NA,Lower-Middle Income
TUR,Türkiye,Istanbul,istb,UMIC,Eur. & Cent. Asia,0.48,0.12,0.07,0.05,0.01,0.16,0.03,NA,Upper-Middle Income
TUR,Türkiye,Sakarya,skya,UMIC,Eur. & Cent. Asia,0.47025,0.15895,0.0868,0.0439,0.014,0.2261,NA,NA,Upper-Middle Income
TKM,Turkmenistan,Ashgabat,asht,UMIC,Eur. & Cent. Asia,0.19,0.03,0.07,0.04,0.03,0.3,NA,NA,Upper-Middle Income
TUV,Tuvalu,Funafuti,funa,UMIC,E. Asia & Pacific,0.285550646375389,0.139257077401407,0.0998199967272132,0.0666830306005564,0.126165930289642,0.178939617083947,NA,NA,Upper-Middle Income
UGA,Uganda,Kampala,kamp,LIC,Sub-Saharan Africa,0.43,0.06,0.02,NA,NA,0.46,0.036,NA,Low Income
UKR,Ukraine,Kiev,kiev,LMIC,Eur. & Cent. Asia,0.44,0.215,0.135,0.095,0.014,0.03,0.0319768135154069,NA,Lower-Middle Income
UKR,Ukraine,Pavlograd,pavl,LMIC,Eur. & Cent. Asia,0.206,0.126,0.115,0.105,0.006,0.403,NA,NA,Lower-Middle Income
ARE,United Arab Emirates,Abu Dhabi,abud,HIC,Mid. East & N. Africa,0.49,0.12,0.06,0.09,0.08,0.16,0.336027109293089,NA,High Income
